0,828 1,108402E-11 -0,207
0,828 -9,78191E-11 -0,207
0,828 -7,336032E-10 -0,207
0,828 -8,572637E-10 -0,207
0,828 -9,127364E-10 -0,207
0,828 -1,280331E-09 -0,207
0,828 -1,262818E-09 -0,207
0,828 -3,862472E-10 -0,207
0,828 -3,514706E-11 -0,207
0,828 -1,282148E-10 -0,207
0,828 -2,228321E-10 -0,207
0,828 -2,813649E-10 -0,207
0,828 -3,624867E-10 -0,207
0,828 -4,611721E-10 -0,207
0,828 -5,519714E-10 -0,207
0,828 -6,091997E-10 -0,207
0,828 -7,102451E-10 -0,207
0,828 -8,17777E-10 -0,207
0,828 -9,08135E-10 -0,207
0,828 -1,751635E-09 -0,207
0,828 -1,916759E-10 -0,207
0,828 -2,311689E-10 -0,207
0,828 -3,21481E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,828 -4,398684E-10 -0,207
0,8280019 -3,990565E-10 -0,207
0,831229 0,000647355 -0,207
0,8440363 0,001224809 -0,207
0,857532 -0,003741363 -0,207
0,8702669 -0,01462305 -0,207
0,8812432 -0,02550411 -0,207
0,8890039 -0,03215587 -0,207
0,8978747 -0,03876472 -0,207
0,9063246 -0,04627073 -0,207
0,914429 -0,05471814 -0,207
0,921872 -0,06428611 -0,207
0,9280331 -0,07344556 -0,207
0,9331583 -0,08138633 -0,207
0,9374934 -0,08850169 -0,207
0,9401333 -0,09577513 -0,207
0,9421228 -0,1043456 -0,207
0,943464 -0,1144642 -0,207
0,943889 -0,1247447 -0,207
0,9436719 -0,1331483 -0,207
0,9434687 -0,1382666 -0,207
0,9431645 -0,1411566 -0,207
0,9428912 -0,1435559 -0,207
0,9425866 -0,1465632 -0,207
0,9421182 -0,1508244 -0,207
0,9410983 -0,1561727 -0,207
0,9396557 -0,1619402 -0,207
0,9378994 -0,1680276 -0,207
0,93636 -0,1733479 -0,207
0,9350854 -0,1774178 -0,207
0,9343867 -0,1798192 -0,207
0,9337791 -0,1817384 -0,207
0,9333007 -0,1834611 -0,207
0,9328769 -0,1849697 -0,207
0,9322391 -0,1866295 -0,207
0,9316437 -0,1880832 -0,207
0,9308937 -0,1896947 -0,207
0,9299515 -0,1915143 -0,207
0,9287927 -0,1934357 -0,207
0,9277303 -0,1954316 -0,207
0,9268371 -0,1976338 -0,207
0,9262062 -0,199688 -0,207
0,9257709 -0,2010584 -0,207
0,9253644 -0,2021942 -0,207
0,9249502 -0,2032503 -0,207
0,9245286 -0,2041893 -0,207
0,9240621 -0,2051334 -0,207
0,9235586 -0,2061693 -0,207
0,9229949 -0,2075029 -0,207
0,9224505 -0,2089773 -0,207
0,9219809 -0,2102466 -0,207
0,921537 -0,2112922 -0,207
0,9211084 -0,2122285 -0,207
0,9207233 -0,2130809 -0,207
0,9203398 -0,2139044 -0,207
0,9199134 -0,2147149 -0,207
0,9193322 -0,2156332 -0,207
0,9185871 -0,216665 -0,207
0,9179001 -0,2176405 -0,207
0,9173328 -0,2184852 -0,207
0,916837 -0,2192263 -0,207
0,9163645 -0,2199265 -0,207
0,9159246 -0,2205598 -0,207
0,915534 -0,221072 -0,207
0,915156 -0,2215436 -0,207
0,9147454 -0,2219872 -0,207
0,9143017 -0,2224105 -0,207
0,9138017 -0,2227992 -0,207
0,9132662 -0,2231715 -0,207
0,9127095 -0,2235632 -0,207
0,9120774 -0,2239949 -0,207
0,9114111 -0,2243924 -0,207
0,9107633 -0,2247593 -0,207
0,9100916 -0,2251007 -0,207
0,9094833 -0,2253616 -0,207
0,9088817 -0,2255794 -0,207
0,9082527 -0,2257839 -0,207
0,9075853 -0,2260057 -0,207
0,9068763 -0,2262588 -0,207
0,9061458 -0,2265313 -0,207
0,9054142 -0,2267975 -0,207
0,9047017 -0,2270182 -0,207
0,9040362 -0,2271547 -0,207
0,9033982 -0,227252 -0,207
0,9027554 -0,2272903 -0,207
0,9017842 -0,2269276 -0,207
0,9001845 -0,2250921 -0,207
0,8989397 -0,2216254 -0,207
0,8974682 -0,2216254 -0,207
0,8937895 -0,2216254 -0,207
0,8901107 -0,2216254 -0,207
0,8827532 -0,2216254 -0,207
0,8800219 -0,2216262 -0,207
0,8799995 -0,2216262 -0,207
0,8799997 -0,221626 -0,207
0,8799999 -0,2216262 -0,207
0,8799999 -0,2216263 -0,207
0,8799999 -0,2216266 -0,207
0,8799999 -0,2216265 -0,207
0,8800001 -0,2216266 -0,207
0,88 -0,2216269 -0,207
0,8799996 -0,2216273 -0,207
0,8799999 -0,2216278 -0,207
0,8799999 -0,2216277 -0,207
0,8799999 -0,2216277 -0,207
0,8799999 -0,2216281 -0,207
0,8799993 -0,2216291 -0,207
0,8799999 -0,2216296 -0,207
0,8799999 -0,2216297 -0,207
0,8800001 -0,2216297 -0,207
0,8799994 -0,2216298 -0,207
0,8799999 -0,2216305 -0,207
0,8799996 -0,2216303 -0,207
0,8799999 -0,2216301 -0,207
0,8799999 -0,2216298 -0,207
0,8799999 -0,2216295 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
0,8799999 -0,2216291 -0,207
